id,first_name,last_name,date_of_birth,ethnicity,gender,status,entry_academic_period,,,,
211111,Aiden,Taylor,Feb-24,Asian,M,FT,Fall 2009,,,,
211112,Chloe,Anderson,15-Jun,Hispanic,F,TRANSFER,Fall 2007,,,,
211113,Ella,Clark,20/2003,Hispanic,F,FTFT,Fall 2007,,,,
211114,Jackson,Evans,17/2003,Race/ethnicity unknown,M,FTFT,Fall 2007,,,,
211115,Sophia,White,29/2002,White,F,FTFT,Fall 2008,,,,
211116,Nathan,Mitchell,3-Feb,Black,M,TRANSFER,Fall 2007,,,,
211117,Emily,Rodriguez,Feb-24,White,F,FTFT,Fall 2008,,,,
211118,Liam,King,18/2000,Hispanic,F,FTGRAD,Fall 2011,,,,
211119,Zoe,Lewis,Mar-99,White,F,FTFT,Fall 2008,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,, 
